place,title,time,pay,date
대구 달서구,다이소 대구신월성점 계산대 파트 직원 모집,10:00~16:00,"시급 8,720",6분전
서울 송파구,다이소 잠실점 직원 모집 (식대비 별도지급),시간협의,"월급 1,822,480",7분전
광주 북구,다이소 롯데슈퍼문흥점 2교대 근무 / 6시간 파트타임 채용,10:00~16:00,"시급 8,720",7분전
광주 남구,다이소 롯데슈퍼봉선점 파트타임 채용,10:00~16:00,"시급 8,720",10분전
경북 구미시,다이소 구미형곡네거리점 직원모집,09:00~18:00,"월급 1,822,480",11분전
강원 원주시,다이소 원주단구점 파트직원 모집 (식비 지원),16:00~22:00,"시급 8,720",11분전
대구 북구,다이소 대구대현점 오전 파트 계산대 직원 모집,11:00~17:00,"시급 8,720",12분전
경북 구미시,다이소 구미확장지구점 계산대 파트 직원 모집,10:00~16:00,"시급 8,720",12분전
경북 칠곡군,다이소 칠곡중리2호점 계산대 파트 직원 모집,12:00~18:00,"시급 8,720",13분전
대구 달서구,다이소 영남오픈지원팀 모집공고-대구지역공고,09:30~18:30,"월급 1,822,480",13분전
경북 경주시,다이소 롯데슈퍼경주점(롯데슈펴경주동천점 순환근무) 오전 파트 직원 모집,09:00~15:00,"시급 8,720",14분전
경북 포항시,다이소 포항대잠점 파트 직원모집,09:30~15:30,"시급 8,720",18분전
부산 동래구,다이소 부산동래역점 파트사원 모집(오후 고정),16:00~22:00,"시급 8,720",20분전
경북 포항시,다이소 포항문덕점 계산대 전담 파트 직원 모집,09:00~15:00,"시급 8,720",21분전
울산 남구,다이소 울산삼산본점 직원 모집,09:00~18:00,"월급 1,822,480",24분전
대전 서구,다이소 대전배재대점 파트타이머 모집,09:00~15:00,"시급 8,720",25분전
경남 양산시,다이소 양산서창2호점 파트 직원 모집,10:00~16:00,"시급 8,720",32분전
경남 양산시,다이소 양산남부시장점 오전 파트 직원 모집,09:00~15:00,"시급 8,720",35분전
부산 동래구,다이소 부산동래역점 임시사원 모집,09:00~18:00,"월급 1,822,480",35분전
강원 춘천시,다이소 춘천거두점 파트직원 모집 (식비 지원),09:00~22:00,"시급 8,720",1분전
경북 영천시,다이소 영천시청점 직원 (계산대 위주)모집,09:00~18:00,"월급 1,822,480",1분전
대구 달성군,다이소 대구테크노폴리스점 파트(오후 고정 계산대) 직원 모집,16:00~22:00,"시급 8,720",1분전
강원 원주시,다이소 원주혁신점 파트직원 모집 (식비 지원),10:00~16:00,"시급 8,720",1분전
경북 경산시,다이소 경산옥산점 직원 모집,08:00~17:00,"월급 1,822,480",1분전
대구 달성군,다이소 대구테크노폴리스점 직원 모집,09:00~18:00,"월급 1,822,480",1분전
경북 경산시,다이소 경산옥산점 파트 직원 모집,08:00~14:00,"시급 8,720",1분전
서울 서초구,다이소 방배역점 직원 모집(식대비 별도지급),시간협의,"월급 1,822,480",1분전
경북 경산시,다이소경산영남대점 파트 직원 모집,10:00~16:00,"시급 8,720",1분전
대구 달서구,다이소 대구신월성점 계산대 파트 직원 모집,10:00~16:00,"시급 8,720",1분전
경북 경산시,다이소 경산영남대점 직원 모집,09:00~18:00,"월급 1,822,480",2분전
대구 남구,다이소 대구명덕네거리점 오후(계산대) 파트 직원 모집,16:00~22:00,"시급 8,720",2분전
경북 경산시,다이소 경산옥산점 직원 모집,08:00~17:00,"월급 1,822,480",2분전
광주 동구,다이소 광주충장로점 2교대 근무 / 파트직원 모집,10:00~16:00,"시급 8,720",3분전
경북 경산시,다이소 경산옥산점 파트 직원 모집,08:00~14:00,"시급 8,720",3분전
경북 경산시,다이소경산영남대점 파트 직원 모집,10:00~16:00,"시급 8,720",3분전
경북 경산시,다이소 경산영남대점 직원 모집,09:00~18:00,"월급 1,822,480",4분전
서울 강남구,다이소 강남역2호점 파트사원 모집,16:00~22:00,"시급 8,720",5분전
대구 달서구,다이소 대구진천점 직원 모집,08:00~17:00,"월급 1,822,480",5분전
서울 서초구,다이소 교대역점 직원 모집(식대비 별도),시간협의,"월급 1,822,480",5분전
서울 전체,다이소 양재2호점 임시사원 모집(식대비 별도지급),시간협의,"월급 1,822,480",6분전
대구 달서구,다이소 대구신월성점 계산대 파트 직원 모집,10:00~16:00,"시급 8,720",6분전
서울 송파구,다이소 잠실점 직원 모집 (식대비 별도지급),시간협의,"월급 1,822,480",7분전
광주 북구,다이소 롯데슈퍼문흥점 2교대 근무 / 6시간 파트타임 채용,10:00~16:00,"시급 8,720",7분전
광주 남구,다이소 롯데슈퍼봉선점 파트타임 채용,10:00~16:00,"시급 8,720",10분전
경북 구미시,다이소 구미형곡네거리점 직원모집,09:00~18:00,"월급 1,822,480",11분전
강원 원주시,다이소 원주단구점 파트직원 모집 (식비 지원),16:00~22:00,"시급 8,720",11분전
대구 북구,다이소 대구대현점 오전 파트 계산대 직원 모집,11:00~17:00,"시급 8,720",12분전
경북 구미시,다이소 구미확장지구점 계산대 파트 직원 모집,10:00~16:00,"시급 8,720",12분전
경북 칠곡군,다이소 칠곡중리2호점 계산대 파트 직원 모집,12:00~18:00,"시급 8,720",13분전
대구 달서구,다이소 영남오픈지원팀 모집공고-대구지역공고,09:30~18:30,"월급 1,822,480",13분전
경북 경주시,다이소 롯데슈퍼경주점(롯데슈펴경주동천점 순환근무) 오전 파트 직원 모집,09:00~15:00,"시급 8,720",14분전
경북 포항시,다이소 포항대잠점 파트 직원모집,09:30~15:30,"시급 8,720",18분전
부산 동래구,다이소 부산동래역점 파트사원 모집(오후 고정),16:00~22:00,"시급 8,720",20분전
경북 포항시,다이소 포항문덕점 계산대 전담 파트 직원 모집,09:00~15:00,"시급 8,720",21분전
울산 남구,다이소 울산삼산본점 직원 모집,09:00~18:00,"월급 1,822,480",24분전
대전 서구,다이소 대전배재대점 파트타이머 모집,09:00~15:00,"시급 8,720",25분전
경남 양산시,다이소 양산서창2호점 파트 직원 모집,10:00~16:00,"시급 8,720",32분전
경남 양산시,다이소 양산남부시장점 오전 파트 직원 모집,09:00~15:00,"시급 8,720",35분전
부산 동래구,다이소 부산동래역점 임시사원 모집,09:00~18:00,"월급 1,822,480",35분전
